"","level","Overall","0","1","p","test","Missing"
"n","","243","184","58","","",""
"age (median [IQR])","","57.60 [50.00, 63.95]","59.30 [51.08, 64.65]","53.10 [43.05, 60.85]","<0.001","nonnorm","0.0"
"scr_admit (median [IQR])","","2.23 [1.51, 2.96]","2.26 [1.60, 3.01]","2.06 [1.20, 2.91]","0.195","nonnorm","2.9"
"tbili_admit (median [IQR])","","5.00 [2.35, 16.35]","3.65 [1.83, 9.83]","16.30 [7.55, 27.98]","<0.001","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.42, 2.26]","2.10 [1.70, 2.52]","0.006","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.00 [128.00, 136.00]","132.00 [126.00, 135.00]","0.301","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.62, 3.60]","3.00 [2.70, 3.60]","2.90 [2.40, 3.30]","0.104","nonnorm","3.7"
"lactate_admit (median [IQR])","","2.65 [2.00, 3.70]","2.45 [1.83, 3.38]","3.35 [2.00, 9.97]","0.031","nonnorm","53.1"
"nsbb_dose_preadmission (median [IQR])","","16.25 [6.44, 40.00]","12.50 [6.25, 32.50]","25.00 [12.50, 40.00]","0.223","nonnorm","81.9"
"mido_dose_preadmission (median [IQR])","","15.00 [15.00, 30.00]","15.00 [15.00, 30.00]","15.00 [13.75, 22.50]","0.673","nonnorm","67.9"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.29 [0.91, 1.78]","1.06 [0.76, 1.41]","0.014","nonnorm","0.4"
"baseline_scr_days_to_admit (median [IQR])","","15.00 [4.00, 42.50]","15.00 [4.75, 46.25]","13.00 [1.00, 32.25]","0.267","nonnorm","0.0"
"transfer_aki_days_toadmit (median [IQR])","","6.00 [2.00, 10.00]","7.00 [2.00, 10.00]","4.50 [2.00, 8.00]","0.751","nonnorm","68.7"
"days_admit_to_aki (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 3.00]","2.50 [0.00, 5.75]","0.033","nonnorm","1.2"
"aki_weight (median [IQR])","","83.90 [71.40, 99.45]","82.20 [69.85, 97.85]","87.70 [78.45, 100.85]","0.048","nonnorm","0.4"
"aki_height (median [IQR])","","170.20 [162.60, 177.80]","170.20 [161.00, 175.30]","173.50 [167.70, 180.30]","0.002","nonnorm","0.4"
"aki_hr (median [IQR])","","90.00 [79.00, 102.00]","90.00 [77.00, 102.00]","91.00 [81.00, 105.00]","0.246","nonnorm","3.3"
"aki_sbp (median [IQR])","","100.00 [91.00, 109.00]","99.00 [90.00, 109.00]","103.00 [94.00, 109.00]","0.139","nonnorm","3.3"
"aki_dbp (median [IQR])","","57.00 [51.00, 65.00]","56.00 [51.00, 64.00]","60.00 [54.00, 70.00]","0.010","nonnorm","3.3"
"aki_map (median [IQR])","","71.67 [64.67, 79.50]","70.67 [63.33, 79.33]","75.33 [68.33, 82.67]","0.012","nonnorm","3.3"
"aki_pao2 (median [IQR])","","86.00 [73.00, 112.00]","86.00 [71.43, 112.00]","79.00 [73.00, 98.05]","0.447","nonnorm","28.0"
"fio2_aki (median [IQR])","","0.21 [0.21, 21.00]","0.28 [0.21, 21.00]","0.21 [0.21, 21.00]","0.411","nonnorm","10.3"
"scr_aki (median [IQR])","","2.20 [1.63, 2.96]","2.29 [1.66, 3.08]","1.92 [1.52, 2.77]","0.093","nonnorm","0.0"
"bun_aki (median [IQR])","","40.00 [29.00, 58.25]","41.90 [30.00, 60.00]","36.00 [26.25, 55.25]","0.043","nonnorm","2.9"
"albumin_aki (median [IQR])","","2.95 [2.50, 3.40]","3.00 [2.55, 3.55]","2.90 [2.50, 3.20]","0.235","nonnorm","8.6"
"inr_aki (median [IQR])","","1.80 [1.50, 2.30]","1.80 [1.50, 2.25]","2.05 [1.67, 2.50]","0.017","nonnorm","15.2"
"wbc_aki (median [IQR])","","8.40 [6.20, 13.14]","7.80 [5.79, 11.90]","11.77 [7.97, 17.18]","<0.001","nonnorm","7.0"
"plt_aki (median [IQR])","","94.50 [62.75, 158.25]","89.00 [61.00, 157.50]","111.50 [74.50, 170.50]","0.144","nonnorm","4.5"
"ecg_qtc (median [IQR])","","457.00 [439.50, 483.00]","454.00 [434.00, 480.50]","469.00 [446.50, 489.00]","0.056","nonnorm","16.5"
"days_to_echo (median [IQR])","","5.00 [2.00, 18.00]","5.00 [2.00, 22.00]","3.00 [1.50, 9.50]","0.102","nonnorm","27.2"
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","66.00 [62.50, 70.00]","66.00 [62.50, 71.00]","0.532","nonnorm","25.1"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","10.60 [8.40, 13.00]","14.00 [12.23, 15.45]","<0.001","nonnorm","68.3"
"echo_trpeak (median [IQR])","","224.50 [2.62, 253.05]","220.00 [2.66, 250.00]","240.00 [2.65, 280.00]","0.369","nonnorm","77.0"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.50 [-21.00, 22.70]","-18.20 [-20.00, 2.80]","0.970","nonnorm","88.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.02 [0.84, 1.28]","1.20 [0.96, 1.59]","0.024","nonnorm","56.8"
"echo_rvsp (median [IQR])","","33.00 [28.00, 41.00]","33.50 [27.75, 43.50]","32.00 [28.00, 38.50]","0.578","nonnorm","67.5"
"echo_pasp (median [IQR])","","30.00 [20.38, 40.00]","30.00 [26.12, 41.75]","30.00 [9.50, 33.25]","0.603","nonnorm","90.9"
"echo_lavi (median [IQR])","","32.00 [24.90, 39.50]","30.94 [25.00, 39.00]","34.00 [23.95, 40.99]","0.734","nonnorm","42.0"
"echo_tr (median [IQR])","","2.63 [2.40, 2.95]","2.45 [2.30, 2.83]","2.80 [2.57, 2.95]","0.208","nonnorm","87.7"
"totalalbumin_before_terli (median [IQR])","","200.00 [125.00, 350.00]","200.00 [112.50, 350.00]","225.00 [150.00, 350.00]","0.455","nonnorm","10.3"
"albvolume_before_terli (median [IQR])","","900.00 [500.00, 1500.00]","900.00 [500.00, 1500.00]","900.00 [537.50, 1400.00]","0.994","nonnorm","14.4"
"saline_vol_before_terli (median [IQR])","","1000.00 [289.15, 1500.00]","880.00 [295.00, 1500.00]","1000.00 [298.98, 1562.25]","0.853","nonnorm","62.6"
"lr_volume_before_terli (median [IQR])","","1250.00 [1000.00, 2000.00]","1000.00 [758.12, 2000.00]","2000.00 [1500.00, 2301.90]","0.054","nonnorm","74.9"
"other_cryst_before_terli (median [IQR])","","512.00 [500.00, 1000.00]","512.00 [297.50, 756.00]","3087.50 [1793.75, 4381.25]","0.564","nonnorm","97.9"
"prbc_qaunt_before_terli (median [IQR])","","2.00 [1.00, 3.00]","2.00 [1.00, 3.00]","2.00 [1.00, 4.00]","0.684","nonnorm","68.3"
"totalvolume_before_terli (median [IQR])","","4650.00 [1550.00, 9117.00]","4271.33 [1500.00, 8840.00]","6250.00 [1830.00, 9904.00]","0.194","nonnorm","14.0"
"total_uo_before_terli (median [IQR])","","2100.00 [605.00, 5162.50]","1951.00 [575.00, 4595.00]","2784.00 [1225.00, 8110.00]","0.049","nonnorm","16.5"
"days_first_mido_before_terli (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 3.00]","1.00 [0.00, 5.00]","0.221","nonnorm","28.4"
"days_total_mido_before_terli (median [IQR])","","5.00 [2.00, 9.00]","4.00 [2.00, 9.00]","6.00 [2.00, 9.00]","0.734","nonnorm","28.8"
"mido_maxdose_before_terli (median [IQR])","","30.00 [15.00, 45.00]","30.00 [20.00, 45.00]","20.00 [15.00, 30.00]","0.002","nonnorm","28.4"
"days_first_oct_before_terli (median [IQR])","","1.00 [0.00, 5.75]","1.00 [0.00, 5.25]","1.00 [0.25, 5.50]","0.720","nonnorm","49.8"
"days_total_oct_before_terli (median [IQR])","","4.00 [2.00, 8.75]","4.00 [2.00, 9.00]","4.00 [1.00, 7.50]","0.302","nonnorm","49.8"
"oct_maxdose_before_terli (median [IQR])","","300.00 [100.00, 600.00]","300.00 [100.00, 600.00]","300.00 [112.50, 600.00]","0.593","nonnorm","49.8"
"days_first_ne_before_terli (median [IQR])","","1.00 [0.00, 2.75]","1.00 [0.00, 2.50]","0.00 [0.00, 3.50]","0.578","nonnorm","86.0"
"days_total_ne_before_terli (median [IQR])","","4.00 [2.00, 10.75]","3.00 [1.50, 8.00]","10.00 [8.50, 18.50]","0.087","nonnorm","86.0"
"days_to_gihep_consult (median [IQR])","","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","0.120","nonnorm","10.7"
"days_to_neph_consult (median [IQR])","","2.00 [1.00, 5.00]","2.00 [1.00, 5.00]","2.00 [0.00, 6.75]","0.652","nonnorm","10.3"
"days_to_pall_consult (median [IQR])","","9.00 [3.75, 16.00]","11.00 [3.50, 17.00]","8.00 [5.00, 12.00]","0.480","nonnorm","67.1"
"days_ua_hrs (median [IQR])","","1.00 [0.00, 3.25]","1.00 [0.00, 3.00]","2.00 [0.00, 5.00]","0.081","nonnorm","7.8"
"days_ua_na_hrs (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 3.00]","2.00 [1.00, 5.75]","0.007","nonnorm","14.0"
"ua_na_value_hrs (median [IQR])","","19.00 [9.00, 19.00]","19.00 [9.00, 19.00]","19.00 [9.00, 19.00]","0.940","nonnorm","14.0"
"days_ua_cr_hrs (median [IQR])","","1.00 [1.00, 5.00]","1.00 [0.00, 5.00]","2.50 [1.00, 5.25]","0.181","nonnorm","28.8"
"ua_cr_value_hrs (median [IQR])","","128.00 [93.00, 171.00]","128.95 [96.20, 171.75]","122.50 [90.40, 167.25]","0.858","nonnorm","28.8"
"days_ua_urea_hrs (median [IQR])","","1.00 [0.00, 6.00]","1.00 [0.00, 5.00]","4.00 [0.50, 8.00]","0.264","nonnorm","64.6"
"ua_urea_value_hrs (median [IQR])","","512.50 [396.25, 651.00]","525.00 [415.50, 654.00]","477.00 [323.50, 604.00]","0.183","nonnorm","64.6"
"feurea_hrs (median [IQR])","","21.19 [14.44, 29.70]","21.34 [15.21, 29.11]","17.56 [9.70, 35.95]","0.632","nonnorm","68.3"
"ua_rbc_hrs (median [IQR])","","2.00 [0.75, 10.00]","3.00 [0.00, 11.00]","2.00 [1.00, 10.00]","0.648","nonnorm","22.6"
"uaprotein_hrs (median [IQR])","","2.00 [0.13, 50.00]","1.00 [0.10, 51.00]","14.00 [0.24, 37.72]","0.515","nonnorm","50.2"
"temp_terli_day0 (median [IQR])","","36.60 [36.40, 36.80]","36.60 [36.40, 36.80]","36.70 [36.50, 36.80]","0.087","nonnorm","0.0"
"hr_terli_day0 (median [IQR])","","80.00 [67.00, 90.50]","77.00 [66.00, 89.25]","87.00 [78.25, 92.75]","0.002","nonnorm","0.0"
"pao2_terli_day0 (median [IQR])","","88.00 [79.00, 112.00]","86.00 [79.00, 112.00]","90.60 [79.00, 112.00]","0.660","nonnorm","24.3"
"fio2_terli_day0 (median [IQR])","","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.363","nonnorm","6.2"
"sbp_terli_day0_time0 (median [IQR])","","106.00 [98.00, 117.00]","104.00 [96.00, 115.00]","111.00 [103.00, 124.00]","0.001","nonnorm","10.7"
"map_terli_day0_time0 (median [IQR])","","73.16 [66.08, 80.33]","72.67 [65.67, 80.00]","77.84 [68.92, 83.50]","0.050","nonnorm","0.4"
"chloride_terli_day0 (median [IQR])","","101.00 [96.00, 105.00]","101.00 [96.00, 105.25]","100.00 [94.25, 103.00]","0.104","nonnorm","0.0"
"bicarb_terli_day0 (median [IQR])","","19.00 [16.00, 21.00]","19.00 [17.00, 21.25]","18.00 [15.00, 20.00]","0.045","nonnorm","2.1"
"scr_terli_day0 (median [IQR])","","2.79 [2.27, 3.57]","2.80 [2.28, 3.64]","2.72 [2.25, 3.17]","0.365","nonnorm","0.0"
"bun_terli_day0 (median [IQR])","","54.00 [39.00, 71.00]","52.00 [39.00, 71.75]","56.50 [39.50, 71.00]","0.628","nonnorm","0.8"
"ast_terli_day0 (median [IQR])","","51.50 [33.00, 85.25]","46.00 [29.75, 75.00]","67.00 [49.00, 104.50]","<0.001","nonnorm","6.2"
"alt_terli_day0 (median [IQR])","","23.00 [15.00, 34.25]","20.50 [13.00, 32.00]","31.00 [21.50, 39.50]","<0.001","nonnorm","6.2"
"bili_terli_day0 (median [IQR])","","5.60 [2.58, 17.32]","4.30 [2.10, 10.83]","16.60 [7.45, 31.35]","<0.001","nonnorm","6.2"
"alb_terli_day0 (median [IQR])","","3.50 [3.10, 3.82]","3.50 [3.10, 3.90]","3.50 [3.10, 3.80]","0.419","nonnorm","6.2"
"inr_terli_day0 (median [IQR])","","2.10 [1.70, 2.56]","2.00 [1.60, 2.58]","2.30 [1.75, 2.50]","0.116","nonnorm","19.8"
"wbc_terli_day0 (median [IQR])","","7.30 [5.00, 11.36]","6.60 [4.80, 9.91]","10.62 [6.94, 16.20]","<0.001","nonnorm","3.7"
"hgb_terli_day0 (median [IQR])","","8.00 [7.40, 8.95]","8.00 [7.40, 8.90]","8.20 [7.40, 8.80]","0.656","nonnorm","1.6"
"Discont_Day (median [IQR])","","3.00 [2.00, 5.00]","3.00 [2.00, 5.00]","3.00 [2.00, 5.00]","0.931","nonnorm","0.0"
"na_terli_day0 (median [IQR])","","133.00 [129.00, 136.00]","133.00 [129.00, 136.25]","131.00 [129.00, 135.75]","0.143","nonnorm","0.0"
"days_to_terli_initiation_day0 (median [IQR])","","5.00 [2.00, 9.00]","4.00 [2.00, 9.00]","6.00 [3.00, 9.75]","0.209","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.38 [36.19, 47.82]","40.54 [35.97, 47.37]","43.40 [39.07, 48.03]","0.032","nonnorm","3.7"
"admit_meld (median [IQR])","","27.00 [22.00, 33.00]","26.00 [21.00, 31.00]","30.50 [27.00, 36.25]","<0.001","nonnorm","3.3"
"admit_meld_na (median [IQR])","","30.00 [26.00, 34.00]","29.00 [25.00, 33.00]","33.00 [30.00, 37.00]","<0.001","nonnorm","4.5"
"admit_meld_3 (median [IQR])","","31.00 [27.00, 37.00]","30.50 [26.00, 36.00]","34.00 [30.00, 38.75]","<0.001","nonnorm","0.0"
"admit_meld_3_raw (median [IQR])","","31.00 [26.00, 37.00]","30.00 [25.75, 36.00]","34.00 [30.00, 39.00]","<0.001","nonnorm","4.1"
