"","level","Overall","Non-AH","AH","p","test","Missing"
"n","","242","184","58","","",""
"age (median [IQR])","","57.60 [49.95, 63.98]","59.30 [51.08, 64.65]","53.10 [43.05, 60.85]","<0.001","nonnorm","0.0"
"scr_admit (median [IQR])","","2.23 [1.50, 2.96]","2.26 [1.60, 3.01]","2.06 [1.20, 2.91]","0.195","nonnorm","2.9"
"tbili_admit (median [IQR])","","5.05 [2.42, 16.38]","3.65 [1.83, 9.83]","16.30 [7.55, 27.98]","<0.001","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.42, 2.26]","2.10 [1.70, 2.52]","0.006","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.00 [128.00, 136.00]","132.00 [126.00, 135.00]","0.301","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.60, 3.60]","3.00 [2.70, 3.60]","2.90 [2.40, 3.30]","0.104","nonnorm","3.7"
"lactate_admit (median [IQR])","","2.65 [2.00, 3.70]","2.45 [1.83, 3.38]","3.35 [2.00, 9.97]","0.031","nonnorm","52.9"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.29 [0.91, 1.78]","1.06 [0.76, 1.41]","0.014","nonnorm","0.4"
"scr_terli_day0 (median [IQR])","","2.79 [2.26, 3.57]","2.80 [2.28, 3.64]","2.72 [2.25, 3.17]","0.365","nonnorm","0.0"
"bun_terli_day0 (median [IQR])","","54.00 [39.00, 71.00]","52.00 [39.00, 71.75]","56.50 [39.50, 71.00]","0.628","nonnorm","0.8"
"ast_terli_day0 (median [IQR])","","52.00 [33.00, 85.50]","46.00 [29.75, 75.00]","67.00 [49.00, 104.50]","<0.001","nonnorm","6.2"
"alt_terli_day0 (median [IQR])","","23.00 [15.00, 34.00]","20.50 [13.00, 32.00]","31.00 [21.50, 39.50]","<0.001","nonnorm","6.2"
"bili_terli_day0 (median [IQR])","","5.60 [2.60, 17.45]","4.30 [2.10, 10.83]","16.60 [7.45, 31.35]","<0.001","nonnorm","6.2"
"alb_terli_day0 (median [IQR])","","3.50 [3.10, 3.85]","3.50 [3.10, 3.90]","3.50 [3.10, 3.80]","0.419","nonnorm","6.2"
"inr_terli_day0 (median [IQR])","","2.10 [1.70, 2.56]","2.00 [1.60, 2.58]","2.30 [1.75, 2.50]","0.116","nonnorm","19.4"
"wbc_terli_day0 (median [IQR])","","7.30 [5.00, 11.41]","6.60 [4.80, 9.91]","10.62 [6.94, 16.20]","<0.001","nonnorm","3.7"
"hgb_terli_day0 (median [IQR])","","8.00 [7.40, 8.90]","8.00 [7.40, 8.90]","8.20 [7.40, 8.80]","0.656","nonnorm","1.7"
